#,Artiste,Titre,fileDate,freq,True_Target,CleanedTitle,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
39,Amel Bent & Hatik ,"1,2,3",21-01-23,6,True,"1,2,3",7uCLrBdy5FH6T7vcJzqRd7,74,0.722,0.497,10,-7.779,0,0.0632,0.767,0,0.122,0.684,147.794,225998
49,Suarez ,Céleste,21-01-23,6,True,Céleste,6Yw4beBdHGYKN7LFyTlSdY,26,0.648,0.712,1,-8.652,0,0.0336,0.84,0.0179,0.102,0.662,148.035,178293
33,Jason Derulo x Nuka ,Love Not War (The Tampa Beat),21-01-30,6,True,Love Not War (The Tampa Beat),4Lt6GXGzYsa1tgkv3nGSTm,85,0.738,0.85,8,-3.049,1,0.0642,0.105,0,0.23,0.865,98.013,192921
45,The Kid Laroi ,Without You,21-01-30,6,True,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,94,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,161385
49,The Weeknd ,Save Your Tears,21-01-30,6,True,Save Your Tears,5QO79kh1waicV47BqGRL3g,96,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627
50,Julie Zenatti ,Paisiblement fou,21-01-30,5,True,Paisiblement fou,7zfijT96QMtDDQmkLNaGq0,27,0.631,0.849,2,-5.714,1,0.053,0.0698,0,0.0941,0.644,115.939,163840
27,Booba ,Ratpi World,21-02-06,2,False,RATPI WORLD,2ZjTAieewsBC24kPGfLagc,75,0.792,0.644,1,-8.525,1,0.0657,0.12,0.0135,0.117,0.677,139.98,135595
38,Sia ,Courage To Change,21-02-06,5,True,Courage to Change,2MbgQKWhoii8bqsMBWWWgA,77,0.307,0.606,11,-5.567,0,0.0347,0.0927,0,0.357,0.11,78.828,292656
41,Les Enfoirés ,Maintenant,21-02-06,5,True,Maintenant - Version radio,1h7LWORFpHl8qTz8xXlVYN,60,0.722,0.646,7,-6.678,0,0.0734,0.18,0,0.0975,0.459,112.991,217133
25,Hamza feat. Zed ,Réel,21-02-13,1,False,Réel (feat. Zed),2Ilo9KNm4tD3dQhAVEnhvn,63,0.693,0.508,4,-8.149,0,0.228,0.141,1.22e-06,0.075,0.591,144.079,222821
