#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
20,25,6,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,20,12_12_2020
21,19,7,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,12_12_2020
22,27,23,Banners,Someone To You,ISLAND,UNIVERSAL,8,12_12_2020
23,30,4,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,23,12_12_2020
24,14,5,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,12_12_2020
25,17,12,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,12_12_2020
26,39,7,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,12_12_2020
27,31,4,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27,12_12_2020
28,23,10,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,12_12_2020
29,29,10,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,12_12_2020
30,22,12,Internet Money & Gunna feat. Don Toliver &Nav,Lemonade,CAROLINE,UNIVERSAL,13,12_12_2020
31,32,37,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3,12_12_2020
32,40,2,Tiësto,The Business,ATLANTIC,WARNER,32,12_12_2020
33,49,62,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,12_12_2020
34,34,5,Milow,First Day Of My Life,HOMERUN,SONY,28,12_12_2020
35,24,25,Ava Max,Kings & Queens,ATLANTIC,WARNER,4,12_12_2020
36,26,22,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,12_12_2020
37,36,5,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32,12_12_2020
